titulo,subtitulo,fecha,url,audience,post_type,tipo_clasificado,metodo_extraccion_usado,body_text,body_length,transcript_text,transcript_length,transcript_source,combined_text,combined_length,media_upload_ids,duracion_media,estado_extraccion,notas
#CLASE 23: APLICA ESTA ESTRATEGIA DE INGENERIA FISCAL (Y AHORRA IMPUESTOS CON NÚMEROS REALES).,,2025-12-30T11:25:43.773Z,https://fiscalizarte.substack.com/p/clase-23-aplica-esta-estrategia-de,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,09aa374c-b946-4821-996e-a9d19680f0bf | baaaefb2-c120-4ae4-8ece-d4ec96188717,1587.5667 | 1587.4612,PENDIENTE,Preparado para extracción final
He cerrado el año con esta operación....,2026 será el año de este tipo de oportunidades.,2025-12-30T08:23:25.337Z,https://fiscalizarte.substack.com/p/he-cerrado-el-ano-con-esta-operacion,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Salir de una SL tras una bronca: el error fiscal que te puede costar miles de euros.,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2025-12-26T08:41:14.009Z,https://fiscalizarte.substack.com/p/salir-de-una-sl-tras-una-bronca-el,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Cómo arruinar tu nueva SL por culpa de la vieja (y de Hacienda)...,,2025-12-24T06:56:21.101Z,https://fiscalizarte.substack.com/p/como-arruinar-tu-nueva-sl-por-culpa,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Clase 22: Planificación fiscal con JERO ´´Inversor de la Comunidad Fiscalizarte``,Jero tiene 9 pisos (1.760.000€). Y el “siguiente nivel” no es comprar el 10º.,2025-12-22T11:34:57.308Z,https://fiscalizarte.substack.com/p/clase-22-planificacion-fiscal-con,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,22697c58-2fc2-42e5-ab9e-39e9bf8ac7a5 | 82b87410-56c0-4987-a240-99cb36d89761,1265.9667 | 1265.8156,PENDIENTE,Preparado para extracción final
Te cuento un caso real de un inversor al que asesoré...,La trampa silenciosa que NO te cuentan.,2025-12-20T10:11:36.226Z,https://fiscalizarte.substack.com/p/te-cuento-un-caso-real-de-un-inversor,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
“¿Qué tengo que hacer antes de fin de año para pagar lo mínimo posible en la renta?”,La respuesta en este mail.,2025-12-17T06:48:23.594Z,https://fiscalizarte.substack.com/p/que-tengo-que-hacer-antes-de-fin,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Clase 3: NPLs (crédito hipotecario impagado) — donde de verdad están los descuentos,,2025-12-15T11:25:28.812Z,https://fiscalizarte.substack.com/p/clase-3-npls-credito-hipotecario,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,1199eeea-97d1-432c-b28e-b4291e5d4aa7 | ce1a4038-29a4-4d95-81c6-dc54dfe04af0,2161.7 | 2161.5803,PENDIENTE,Preparado para extracción final
“¿Por qué todo el mundo me dice que cree una sociedad si ya pago menos como no residente?”,,2025-12-10T09:37:36.258Z,https://fiscalizarte.substack.com/p/por-que-todo-el-mundo-me-dice-que,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
¿Tengo que darme de alta en autónomos si tengo una patrimonial?,,2025-12-03T09:34:35.624Z,https://fiscalizarte.substack.com/p/tengo-que-darme-de-alta-en-autonomos,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
